column0,column1,column2,column3,column4,column5,column6,column7,column8,column9
How many Malaysians will believe that I want to be Prime Minister of Malaysia so as to  appoint Guan Eng as Deputy Prime Minister?,05/08/17,3 Comments,"{Bigjoe}{8 May 2017}{9:23 am} The answer to the question is simple – not many BUT its still too many..The problem really is the lie is perpetuated by Hadi’s PAS too. The issue is myth-making – an UMNO tool that now Hadi’s PAS is in it too. Even if Rafizi’s Invoke survey is accurate and only 15% of voters now support PAS, together with UMNO, its way too many in a diverse multi-agenda nation like ours.","{Sallang}{8 May 2017}{3:01 pm} YB Lim, its now or never, to announce the shadow cabinet, if PH wins in the GE14. Maybe names need not be annouce, but how many from which Party, yes, and PM must be a Malay.
Let the voters get a feel of what to expect, the new cabinet will be. Maybe the numbers can be reduced.
From now on, we only want to read or hear, tangible promises, like prices will go down , gradually, but definitely.
To address all the small small things that are affecting the lives of the common rakyat, from taking a driving license to getting a business license.
To promise to do away with uneccessary red tape, which gave opportunity for corruption.
1MDB is too complex for the rural folks to comprehend.
Religious Party wants to reach heaven, what kleptocracy?","{good coolie}{9 May 2017}{9:07 pm} Yah appoint him DPM (with you PM), but ask the fellow not to buy  “Jual Murah” banglo. Young people may not know where  Jual Murah in Penang is/was. ",,,,
"Call on  Malaysians, regardless of race, religion and region, to be united as Malaysians in the 14GE to save Malaysia from becoming a kleptocratic and failed state",05/07/17,2 Comments,"{SuperStringhg}{7 May 2017}{9:18 pm} All those monies lost if used wisely could have made Malaysia a Great Nation among Asean. Presently even Indonesia and Vietnam are doing better. Now, we only hear others called Malaysia as Malusia. Sighhhhh…these are the 60 years of effort? Still got face to celebrate 60  years of Independence? Should Seriously and Thoroughly Reflect because the next 60 years Malaysia will not have that kind of cash to burn!!!","{Bigjoe}{7 May 2017}{9:46 pm} Najib accuses the opposition of cheap talk only when clearly Pakatan has surpassed BN two terms in Penang and Selangor, being undermined by Federal Govt constantly too.",,,,,
"On 60th National Day Celebrations in 2017, Malaysians should  ask why  in the past few years, they feel shy  when overseas to admit they are Malaysians, when they had   never felt  ashamed to do so for 52 years  under the first five Prime Ministers?",05/06/17,3 Comments,"{Bigjoe}{6 May 2017}{7:55 am} Even Zahid Hamidi finds it so embarrassing, he has to redeclare his loyalty to Najib. The issue is not shame or ridiculous because we are long there. The issue is after, then what? It can only be hate which we already see. To defend themselves they stoke hate. We are near disaster. Must that happen before we act? Then Najib’s prodigality is in fact national and we deserve the shame now.","{SuperStringhg}{6 May 2017}{11:58 am} Yeah, when I talk to overseas Malaysians and ask about either Najib or 1MDB, with a scowl on there face, they will change subject like the weather…hehehhe. After 60 years, Malaysia becomes Malusia?","{Godfather}{6 May 2017}{12:58 pm} Kit:  If you or Dr M or Mat Sabu can explain why the rural Malays are so forgiving of a bunch of thieves, indulging in daylight robbery of billions of public funds, then there might still be hope for change. It can’t be technology, every rural person has a smartphone.  It can’t be lack of publicity – this issue has been raised ad nauseum.  It can only be religion – the fear of Malays losing power that allows rural folks to overlook daylight robbery even in the face of clear evidence.  What can Pakatan do about it ?",,,,
Broken Bandar Malaysia deal raises questions anew over 1MDB debt’s,05/05/17,2 Comments,{Bigjoe}{5 May 2017}{10:22 am} What is really significant is Zahid Hamidi declaring again his loyalty to Najib confirming Najib is in.trouble again.,"{good coolie}{7 May 2017}{12:12 pm} Mahatir has an old mind-set. Note that he affectionately used the term “chettiar”, proving that he has not forgotten his Indian roots,  and his erstwhile race. Perhaps he wished to describe  credit-card companies who are the real usurious ones these days.",,,,,
Malaysia and Abu Dhabi strike a deal over 1MDB,05/04/17,2 Comments,"{Bigjoe}{4 May 2017}{7:21 pm} So the question remains who is going to buy the Brazen Sky “units”? If the party is Chinese, who are the only one with the money, and CREC cannot get approval to transfer money on Bandar Malaysia, how is any China party going to get approval for ” units”??","{SuperStringhg}{4 May 2017}{9:16 pm} There is one more issue many observable may have overlooked. In this 1mdb-ipic settlement, 1mdb confirmed the money is coming from the 2.3b fund units (Brazen sky & 1mdb global). According to 1mdb, those units were guarantee (never made public until now) by Aabar pjs. Now, Aabar denies they gave those guarantee. What is really mysterious is, Deloitte signed off 1mdb account on 3/11/14 based on or at least believing that Aabar guarantee those units. Tony Pua asked, “Did Deloitte compromise its independence, professionalism and ethical standards in its 1MDB audit? Why no red flags and a clean bill of health?”
Remember that KPMG refused to sign off the account because of this 2.3b fund units so is Deloitte deceived by some documentation or failure to verify the document properly. There may be a third possibility but only a thorough investigation can know the truth.",,,,,
"Key lesson of Bank Negara forex losses quarter of a century ago – failure  of Ministers, top civil servants,  MPs  and the press to play their role to uphold the principles accountability and good governance",05/04/17,3 Comments,"{SuperStringhg}{4 May 2017}{9:39 pm} If there is one key lesson learned, it is how best to siphon money from Rakyat not how to govern cleanly for the country. 1MDB is the “masterpiece” of corruption that even earned itself a nice name “Kleptocracy” and It is Najib’s chef-d’oeuvre, and no doubt Malaysians have to pay an awful price for it.”","{good coolie}{4 May 2017}{10:43 pm} Eh? Jadi bolehlah orang menutup bangkai gajah dengan daun nipah! Alamak, matilah peribahasa yang elok itu!",{undertaker888}{5 May 2017}{2:32 pm} The fat guy from Manchester will cook something smelly soon. The fat guy has thrown everything from his kitchen. The kitchen sink is next.,,,,
Spinning 1MDB’s lopsided settlement,05/03/17,2 Comments,"{Godfather}{4 May 2017}{2:14 pm} Not a pip-squeak from the mainstream press.  You guys need to make it clear – and keep repeating it as often as you can – that the mainstream press, the civil servants, the enforcement agencies, will all be held accountable for this glaring theft of public funds.  Put them on notice, as often as you can.  We will build more jails in Sg Buloh to accommodate all these abettors of the heinous crime.","{good coolie}{7 May 2017}{7:10 pm} During the tenure of one of the Prime Ministers (I can’t remember which fellow), some politicians were sent to Hotel Kamunting for  divulging the U.E.M matter. This ! MDB matter makes U.E.M. look like chicken feed.",,,,,
Malaysia’s $1.7 billion property deal to cut 1MDB debt falls through,05/03/17,1 Comment,"{SuperStringhg}{4 May 2017}{12:50 pm} Sound like IWH CREC Sdn Bhd is not happy with TRX City statement “failed to meet the payment obligations”. IWH CREC press statement “does not fully and accurately reflect the circumstances and conduct of the parties in this matter” is a
a bit cryptic. The key words are “circumstances” and “conduct”. In layperson language…kana siong siong better run!",,,,,,
60th National Day Celebrations should cause  all Malaysians to “reset” nation-building direction and policies for Malaysia to compete with the rest of the world and not to fight among ourselves to be more divided and lose out in the international race,05/01/17,2 Comments,"{SuperStringhg}{1 May 2017}{2:29 pm} Mr Lim, you are right: Malaysia is a Formula One car but have been driven as a diesel truck for over 70 years and still the BN drivers tell you driving at 4.5 miles an hour is good performance! Malaysia has under-performed since Independence. Please look around you and compare with other Formula One country like South Korea, Taiwan, Thailand and even big brother China (since Deng Xiaoping in the 80s). And Indonesia and Philippines under capable and corruption-hating Presidents will speed pass Malaysia like rockets. Oh, Yes…Vietnam and Myanmar just behind you. Wakey, Wakey.","{Bigjoe}{2 May 2017}{9:10 am} This speech should have been done in Sarawak and Sabah. More than any other place, they idea they are separate from what is going on in Peninsula is delusion.",,,,,
Federal Court bans investment fund managers for 10 years,05/01/17,1 Comment,"{SuperStringhg}{1 May 2017}{2:41 pm} Day by day, the secrets of 1mdb scandals are pealing off layer by layer. Oh, the centre is too obscene for public viewing…xxx rated pleased!",,,,,,
I will appear next week before the special task force investigating the Bank Negara forex losses in 1990s,04/30/17,6 Comments,"{Bigjoe}{1 May 2017}{3:36 am} According to the Star, Najib is in a confident mood and hence on the attack.  The logic makes no sense because polls shows both UMNO and PAS vote declining. The 1MDB saga keep re-irrupting again and again. So, if Najib is more aggressive, it’s from deep desperation his stacked up lead is close to gone.","{FreeAsian}{1 May 2017}{8:23 am} “Surely, Malaysia’s commitment to ethics and good governance principles are not inferior to Trump’s administration in the United States?”  Surely you jest, Mr Lim!","{good coolie}{2 May 2017}{12:24 am} I get it, finally! As long as Mahatir was in UMNO he was immune from responsibility for the forex losses. Now that he is not kawan UMNO lagi, okay to investigate him. No-No UMNO! What about Wan Emdibi? Kick de fella, too?","{leong}{2 May 2017}{6:38 pm} ruu355 to split pakatan rakyat
forex to put a wedge between harapan namely you, mahathir and anwar
you stick to your principles, the others and the voters knows what they are up to",{Godfather}{2 May 2017}{8:52 pm} They obviously want to stage a dog-and-pony show where you would be asked to repeat what you demanded in 1998 and if you still maintain those positions now that Mahathir is an ally instead of the enemy.  You’d be kicked out if you deviate from the matter at hand and demand the same type of investigation into 1MDB.  Perhaps we will see Kit being dragged out kicking and screaming from the show ?,"{good coolie}{7 May 2017}{7:24 pm} Barisan is trying every every evil trick in its arsenal. But they ought to remember the saying, “Dig a hole for others to drop into, and you yourself may end up falling into it.” Some day, others would use the same trick on you.",
1MDB settlement a high price for Malaysia,04/29/17,3 Comments,"{Godfather}{29 April 2017}{2:58 pm} What high price ? To the non-taxpayers, the BRIM recipients, there is no perceived price. Until the country goes bankrupt. It’s only the taxpayers that would feel aggrieved. In short, the urban folks.",{Bigjoe}{29 April 2017}{5:51 pm} The ridiculousness of 1MDB is exceeded only by that of Hadi’s PAS politics and that is exceeded by our ridiculous victim paralysis.,{Justice Ipsofacto}{30 April 2017}{10:51 am} Just a little side tracking.,,,,
"As “MO1”, Prime Minister Najib should recuse himself from being the final authority in approval of the 1MDB-IPIC “arbitration settlement”, and a special Parliament convened to decide on the issue",04/29/17,4 Comments,"{SuperStringhg}{29 April 2017}{1:49 pm} Quote “the Prime Minister made the decision for the country looking at the “bigger picture”. Unquote. Marked my words, once the heat turns up on Najis, his henchman will spin that Najis is not the person made this decision. It is those 1mdb negotiators that unilaterally made those decisions without informing Najis. Well, if you believe that 1mdb fiasco got nothing to do with najis, then, everything coming from UMNO is believable lah!",{Godfather}{29 April 2017}{2:55 pm} I am the Finance Minister and I am going to pay myself. Period. What are you going to do about it ?,"{Bigjoe}{30 April 2017}{8:59 am} Najib should stop being a jerk and spew crap from his mouth. If Hadi’s PAS is just getting going on the same thing, why should he stop?","{good coolie}{7 May 2017}{7:33 pm} Kick the can down the road until some miracle happens. Guarantee this and guarantee that until, hopefully, the price of oil rises to old heights; or back to boom in tin and rubber. Cover up wrong doings.",,,
When was Johari removed by the Cabinet or Prime Minister as the final “gatekeeper” for the resolution of the 1MDB scandal?,04/28/17,2 Comments,"{SuperStringhg}{28 April 2017}{1:08 pm} hahaha…when the team lost, Johari is not IN the team; if the team wins, I am sure he will say he sat in front of the desk, that is why they win! UMNO ministers all the same lah!",{Bigjoe}{28 April 2017}{5:44 pm} It’s ironic Johari has no right or authority to but still act as final gatekeeper of a lie. Whereas PKR has the right and legal authority to rid of PAS from Selangor govt but actually voluntarily beg them to resign which they not only refuse but wrongly and shamelessly atgue their position is theirs..,,,,,
Chequebook diplomacy,04/27/17,2 Comments,"{SuperStringhg}{27 April 2017}{9:04 pm} Quote “Patching up relations with Abu Dhabi removes one potential source of bad news, and is the first step to repairing ties with a key ally, albeit at a high price”. Unquote. Yeah, guess who is paying this high price – Rakyat bodoh!","{Bigjoe}{28 April 2017}{4:42 am} PAS is shouting (and lying, self righteously even) that they rather have a failed rogue Kleptocracy than allow secular socialist to take over Malaysia.",,,,,
The “overkill” campaign to convince Malaysians that 1MDB scandal has finally been resolved with the 1MDB-IPIC “arbitration settlement” boomeranged as many basic questions remain unanswered,04/27/17,2 Comments,"{SuperStringhg}{27 April 2017}{12:17 pm} UMNO has 3 million members. 99.9% are quiet over all those missing funds because the same 99.9% probably believe that those funds are used to fight ISIS and pay voters to ensure UMNO wins elections. The same 99.9% therefore believe that the US DOJ report must be a fabrication to bring down the good government of Malaysia. Yes, only IF the above is true otherwise the 99.9% UMNO members cannot be so quiet over the missing funds and except the fact that they have to pay double (USD6.5Billion) over what they have borrowed(USD3Billion)!!!","{Bigjoe}{28 April 2017}{4:14 am} These “settlement” and going ons in 1MDB are excuse making in reality. It’s no longer relevant, not really.",,,,,
Is Malaysia fast becoming a rogue state in today’s international society?,04/26/17,1 Comment,"{good coolie}{26 April 2017}{5:05 pm} If there is no smoke, there is no fire. All the gomen newspapers seem to be saying therre is no smoke, but Saudara Lim is saying there is fire pula. Mana boleh!",,,,,,
Malaysia to Pay $1.2 Billion to Abu Dhabi Fund Over 1MDB Scandal,04/26/17,1 Comment,"{SuperStringhg}{26 April 2017}{1:29 pm} “???‘????’?The evil will not triumph over the virtuous. History has shown this is true.
“The world will not be destroyed by those who do evil, but by those who watch them without doing anything.” – Albert Einstein
Malaysia’s ‘Bonnie & Clyde’ is coming to its logical end.",,,,,,
"UMNO/BN leaders and strategists expect UMNO, MCA, Gerakan and MIC to lose more seats in 14GE and this is why they are cranking up their campaign of lies, hate and fear, especially the triple lie-hate-fear tactics that if UMNO loses, the Malays will lose political power",04/23/17,5 Comments,"{FreeAsian}{24 April 2017}{12:12 am} Uncle Lim, you are feared by BN UMNO because they know that a multiracial party is the future for Malaysia.  MO1 cannot afford to lose GE14 because his freedom as a kleptocrat is at stake.","{Bigjoe}{24 April 2017}{5:07 am} Yes, they are lies and slander but the worst of them are the false equivalence. Comparing the issue of RUU 355 with Ahok, comparing Zakir Naik with Khomeini, comparing the monkey in NYSP with Charlie Hebdo and others.","{Bigjoe}{24 April 2017}{5:23 am} Put it another way, Anwar was jailed long before MOST of the details of 1MDB and SRC were known. Today if Anwar was free, Najib would have been gone, Mahathir may not even join Pakatan.  Najib saw way ahead to start his scheming and slander. He takes no chance, he stacks the odds over whelmingly in his favour.","{good coolie}{24 April 2017}{8:42 pm} DAP was strong because the Chinese abandoned Gerakan and MCA to chose DAP. Those two (along with the Micky-Mouse party had no guts to stand up to UMNO and Mahatir (you may be wondering who this person is!). Facts are facts: DAP’s power base has all along been Chinese. Don’t try to wriggle out of this fact, please!","{Bigjoe}{25 April 2017}{5:54 pm} If you look at INVOKE latest survey, the slander and lies does not have very big effect on DAP. What it really does is keep core PAS voters from Amanah and PKR.",,
14th General Election critical test whether Malaysia can be normal democratic country where voters can peacefully and democratically elect the Federal government they want,04/23/17,1 Comment,{Bigjoe}{23 April 2017}{3:19 pm} The recent defeat of Ahok in Jakarta shows the power of blind faith. Ahok has performed in fact remarkably in his first term as governor. Most of the voters believe he was slandered including more than 70% who voted against him.,,,,,,
Najib responsible for the most heinous fake news any government has concocted with the official version that the global kleptocratic 1MDB scandal does not exist,04/21/17,3 Comments,"{Bigjoe}{21 April 2017}{9:43 pm} Najib has done the most heinous but it’s not the fake news of 1MDB but rather the no news on the fact he has pushed this country beyond the point of no return from heading to certain destruction from third rail politics of race, religion unstoppable by the institutions and systems he has broken to cover his crime and failures","{tmc}{23 April 2017}{7:43 am} GE14 definitely coming soon, not later. Putrajaya will do its best to “cripple” the opposition,  hence the oppo must do its best to hunker down and draw up a defence blueprint against all attacks whether in print, media or speeches, hold steadfast in discipline, dont go off half corked in knee jerk reactions to provocative actions or comments.
Syabas to Zairil Khir Johari and Dyana Sofya Mohd Daud because they remained calm and refused to join in the fray.  Thus Putrajaya has fallen into the trap of inviting the Police and the Malaysian Communications and Multimedia Commission (MCMC)  to investigate the people behind the spread of photographs of individuals resembling DAP’s Zairil Khir Johari and Dyana Sofya Mohd Daud on social media.
Same advice to all the leaders in the oppo and supporters, dont be tempted to waste your energies, harness them for the great “battle” GE14, because Putrajaya wants to harass you in court or in the media to take you out of the election.","{Godfather}{25 April 2017}{10:13 am} If the problem of 1MDB doesn’t exist, why does the government have to pay IPIC for a total of RM 26 billion ? Why does the mainstream press have to suppress the IPIC press release which is so different from the “everything in hunky-dory” press release of 1MDB ?",,,,
"In race for Malay vote, DAP smear campaign hits new lows",04/21/17,2 Comments,"{good coolie}{21 April 2017}{1:32 pm} Ala, kongsi dengan DAP sama eperti kongsian UMNO dengan MCA dan Gerakan ! Orang-orang Malaysia suka kongsi lah!","{Bigjoe}{22 April 2017}{6:23 am} Frankly, what the opposition, in Sarawak and Sabah, BN and opposition and even Hadi PAS as UMNO partner fails to understand, is we are witnessing political obscenity, political pornography, perversion, – disgusting and offensive.  It’s the very fall of civilization, Sodom and Gomorrah stuff.",,,,,
"Malaysian PM Najib Razak accuses media of ‘fake news’, doubts corruption reports",04/20/17,1 Comment,{PW Cheng}{21 April 2017}{1:47 pm} Anies Baswedan win in the Jakarta election is bad news for the opposition as UMNO will exploit religion to the hilt now as it will be the best weapon for them as can be seen in Jakarta.,,,,,,
New Straits Times admitting that it has transformed itself  from a “newspaper” into a “lies-paper”,04/17/17,3 Comments,"{Bigjoe}{17 April 2017}{9:22 pm} Well, they are only following Najib’s lead and by now understand, it’s expected of them. Even Hadi Awang seems to be following Najib with his false equivalency, lying hyperboles, false/wrong leaps of unreason.","{Bigjoe}{17 April 2017}{9:24 pm} Well, they are only following Najib’s lead and by now understand, it’s expected of them. Even Hadi Awang seems to be following Najib with his false equivalency, lying hyperboles, false/wrong leaps of unreason.","{Bigjoe}{18 April 2017}{12:57 am} For example, no one notice Hadi’s PAS has been protesting and now Hadi Awang forgiving “monkey” caricature when monkey is not a symbol of anything particular in Islam but only for the Malays? That is not a Zakir Naik move?",,,,
The black swans in Malaysian politics,04/16/17,1 Comment,"{Bigjoe}{16 April 2017}{8:34 pm} Please tell Me. Liew Chin Tong, his understanding of black swan is inaccurate. Black swan events are not just unexpected events. They are events that has a disproportionate effect. In other words, seemingly unimportant things became big. So Mahathir joining with Pakatan is not a black swan nor if Mahathir managed to topple UMNO-PAS.",,,,,,
